label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,enum_limit_reached,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size, max query size,done checks,spared checks,paths,conditions,forks,unresolved_fork,resolved_forks,discarded,min_transient_dj,dba_instructions,x86instructions,addresses,merged,refused,aborted,wall time,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt,transient_paths_pht,transient_paths_stl,pht_status,pht_dynamic,stl_status,max_spec_depth,violations,max_depth_reached,max_paths_reached,syscalls,solver_timeout_reached,enum_limit_reached,timeout_reached,interrupted,out_of_memory,exit_code
spectrev1_case_1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.071773,1,0,0,1,0.071773,0,0,0,0,0,1,0,0,1,0.071773,761,761,1,28,2,1,1,1,0,0,0,139,41,34,0,0,0,0.124116,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.056886,1,0,0,1,0.056886,0,0,0,0,0,1,0,0,1,0.056886,867,867,1,42,2,1,1,1,0,0,0,186,57,50,0,0,0,0.109862,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.063322,1,0,0,1,0.063322,0,0,0,0,0,1,0,0,1,0.063322,867,867,1,42,2,1,1,1,0,0,0,186,57,50,0,0,0,0.112834,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.058922,1,0,0,1,0.058922,0,0,0,0,0,1,0,0,1,0.058922,858,858,1,28,2,1,1,1,0,0,0,168,45,38,0,0,0,0.10743,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_5,1,1,1,17,1,0,18,1.198771,0,0,0,0,0,1,0,0,1,0.083119,1,0,0,1,0.083119,0,0,0,0,0,18,1,0,19,1.28189,9578.315789,14468,26,543,28,27,27,27,0,0,0,2490,711,50,0,0,0,2.217647,0,0,inf,relational,1,row-map,boolector,0,28,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0378,1,0,0,1,0.0378,0,0,0,0,0,1,0,0,1,0.0378,752,752,1,28,2,1,1,1,0,0,0,160,45,38,0,0,0,0.085764,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.035154,1,0,0,1,0.035154,0,0,0,0,0,1,0,0,1,0.035154,707,707,1,57,4,3,3,3,0,0,0,276,83,48,0,0,0,0.091495,0,0,inf,relational,1,row-map,boolector,0,4,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.064168,1,0,0,1,0.064168,0,0,0,0,0,1,0,0,1,0.064168,796,796,1,45,2,1,1,1,0,0,0,206,66,47,0,0,0,0.111712,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_9,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.02601,1,0,0,1,0.02601,0,0,0,0,0,1,0,0,1,0.02601,532,532,1,14,2,1,1,1,0,0,0,91,25,21,0,0,0,0.068805,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
spectrev1_case_10,1,1,1,0,0,0,0,0,1,0,0,1,0.059958,0,0,0,0,0,1,0,0,1,0.059958,0,0,0,0,0,1,0,0,1,0.059958,879,879,1,36,3,2,2,2,0,0,0,174,54,39,0,0,0,0.109555,0,0,inf,relational,1,row-map,boolector,0,3,0,Haunted,Full,NoSTL,200,1,0,0,0,0,0,0,0,0,Insecure
